Number_of_Cities,CountryCode,Country,Region,Continent,Population,GNP,LifeExpectancy
5,OMN,Oman,"Middle East",Asia,2542000,16904.00,71.8
59,PAK,Pakistan,"Southern and Central Asia",Asia,156483000,61289.00,61.1
2,PAN,Panama,"Central America","North America",2856000,9131.00,75.5
22,PER,Peru,"South America","South America",25662000,64140.00,70.0
136,PHL,Philippines,"Southeast Asia",Asia,75967000,65107.00,67.5
1,PLW,Palau,Micronesia,Oceania,19000,105.00,68.6
1,PNG,"Papua New Guinea",Melanesia,Oceania,4807000,4988.00,63.1
44,POL,Poland,"Eastern Europe",Europe,38653600,151697.00,73.2
9,PRI,"Puerto Rico",Caribbean,"North America",3869000,34100.00,75.6
13,PRK,"North Korea","Eastern Asia",Asia,24039000,5332.00,70.7
5,PRT,Portugal,"Southern Europe",Europe,9997600,105954.00,75.8
5,PRY,Paraguay,"South America","South America",5496000,8444.00,73.7
6,PSE,Palestine,"Middle East",Asia,3101000,4173.00,71.4
2,PYF,"French Polynesia",Polynesia,Oceania,235000,818.00,74.8
1,QAT,Qatar,"Middle East",Asia,599000,9472.00,72.4
1,REU,Réunion,"Eastern Africa",Africa,699000,8287.00,72.7
29,ROM,Romania,"Eastern Europe",Europe,22455500,38158.00,69.9
189,RUS,"Russian Federation","Eastern Europe",Europe,146934000,276608.00,67.2
1,RWA,Rwanda,"Eastern Africa",Africa,7733000,2036.00,39.3
24,SAU,"Saudi Arabia","Middle East",Asia,21607000,137635.00,67.8
12,SDN,Sudan,"Northern Africa",Africa,29490000,10162.00,56.6
9,SEN,Senegal,"Western Africa",Africa,9481000,4787.00,62.2
1,SGP,Singapore,"Southeast Asia",Asia,3567000,86503.00,80.1
1,SHN,"Saint Helena","Western Africa",Africa,6000,0.00,76.8
1,SLB,"Solomon Islands",Melanesia,Oceania,444000,182.00,71.3
1,SLE,"Sierra Leone","Western Africa",Africa,4854000,746.00,45.3
7,SLV,"El Salvador","Central America","North America",6276000,11863.00,69.7
2,SMR,"San Marino","Southern Europe",Europe,27000,510.00,81.1
3,SOM,Somalia,"Eastern Africa",Africa,10097000,935.00,46.2
1,SPM,"Saint Pierre and Miquelon","North America","North America",7000,0.00,77.6
1,STP,"Sao Tome and Principe","Central Africa",Africa,147000,6.00,65.3
1,SUR,Suriname,"South America","South America",417000,870.00,71.4
3,SVK,Slovakia,"Eastern Europe",Europe,5398700,20594.00,73.7
2,SVN,Slovenia,"Southern Europe",Europe,1987800,19756.00,74.9
15,SWE,Sweden,"Nordic Countries",Europe,8861400,226492.00,79.6
1,SWZ,Swaziland,"Southern Africa",Africa,1008000,1206.00,40.4
1,SYC,Seychelles,"Eastern Africa",Africa,77000,536.00,70.4
11,SYR,Syria,"Middle East",Asia,16125000,65984.00,68.5
1,TCA,"Turks and Caicos Islands",Caribbean,"North America",17000,96.00,73.3
2,TCD,Chad,"Central Africa",Africa,7651000,1208.00,50.5
1,TGO,Togo,"Western Africa",Africa,4629000,1449.00,54.7
12,THA,Thailand,"Southeast Asia",Asia,61399000,116416.00,68.6
2,TJK,Tajikistan,"Southern and Central Asia",Asia,6188000,1990.00,64.1
4,TKM,Turkmenistan,"Southern and Central Asia",Asia,4459000,4397.00,60.9
1,TMP,"East Timor","Southeast Asia",Asia,885000,0.00,46.0
1,TON,Tonga,Polynesia,Oceania,99000,146.00,67.9
2,TTO,"Trinidad and Tobago",Caribbean,"North America",1295000,6232.00,68.0
8,TUN,Tunisia,"Northern Africa",Africa,9586000,20026.00,73.7
62,TUR,Turkey,"Middle East",Asia,66591000,210721.00,71.0
1,TUV,Tuvalu,Polynesia,Oceania,12000,6.00,66.3
42,TWN,Taiwan,"Eastern Asia",Asia,22256000,256254.00,76.4
10,TZA,Tanzania,"Eastern Africa",Africa,33517000,8005.00,52.3
1,UGA,Uganda,"Eastern Africa",Africa,21778000,6313.00,42.9
57,UKR,Ukraine,"Eastern Europe",Europe,50456000,42168.00,66.0
1,URY,Uruguay,"South America","South America",3337000,20831.00,75.2
274,USA,"United States","North America","North America",278357000,8510700.00,77.1
17,UZB,Uzbekistan,"Southern and Central Asia",Asia,24318000,14194.00,63.7
1,VCT,"Saint Vincent and the Grenadines",Caribbean,"North America",114000,285.00,72.3
41,VEN,Venezuela,"South America","South America",24170000,95023.00,73.1
1,VGB,"Virgin Islands, British",Caribbean,"North America",21000,612.00,75.4
1,VIR,"Virgin Islands, U.S.",Caribbean,"North America",93000,0.00,78.1
22,VNM,Vietnam,"Southeast Asia",Asia,79832000,21929.00,69.3
1,VUT,Vanuatu,Melanesia,Oceania,190000,261.00,60.6
1,WSM,Samoa,Polynesia,Oceania,180000,141.00,69.2
6,YEM,Yemen,"Middle East",Asia,18112000,6041.00,59.8
8,YUG,Yugoslavia,"Southern Europe",Europe,10640000,17000.00,72.4
44,ZAF,"South Africa","Southern Africa",Africa,40377000,116729.00,51.1
7,ZMB,Zambia,"Eastern Africa",Africa,9169000,3377.00,37.2
6,ZWE,Zimbabwe,"Eastern Africa",Africa,11669000,5951.00,37.8
